-32.5,2019-01-12 21:31:24,2
11.0,2019-01-29 13:34:43,2
28.0,2019-01-10 23:22:13,2
-6.6,2019-01-17 06:24:58,2
-1.8,2019-01-04 12:31:19,2
27.4,2019-01-14 21:35:52,2
39.0,2019-01-29 09:07:55,2
-24.9,2019-01-28 22:56:37,2
-30.1,2019-01-05 16:22:12,2
-32.0,2019-01-24 17:13:28,2
-4.1,2019-01-21 12:56:03,2
9.3,2019-01-18 08:23:46,2
1.0,2019-01-10 05:24:16,2
-11.7,2019-01-25 20:18:51,2
34.7,2019-01-03 13:37:02,2
-34.1,2019-01-03 14:01:57,2
-2.6,2019-01-10 03:23:47,2
-28.1,2019-01-06 18:46:08,2
36.2,2019-01-05 21:34:05,2
8.6,2019-01-17 18:41:36,2
3.4,2019-01-21 02:41:36,2
-31.6,2019-01-28 13:16:14,2
-33.4,2019-01-05 14:18:07,2
11.4,2019-01-25 10:05:11,2
0.5,2019-01-14 12:16:11,2
-31.3,2019-01-05 04:45:08,2
-13.5,2019-01-30 18:51:51,2
-12.1,2019-01-24 08:00:32,2
-39.9,2019-01-16 08:55:13,2
26.7,2019-01-24 21:24:58,2
8.5,2019-01-12 03:25:39,2
34.2,2019-01-09 03:04:42,2
22.6,2019-01-10 10:47:53,2
-36.3,2019-01-24 18:19:51,2
-17.9,2019-01-02 03:33:03,2
34.0,2019-01-12 15:53:18,2
-32.4,2019-01-17 05:47:37,2
20.6,2019-01-28 01:11:56,2
-38.6,2019-01-05 16:50:29,2
38.2,2019-01-19 00:27:15,2
21.6,2019-01-12 11:36:24,2
25.0,2019-01-29 04:24:36,2
-11.4,2019-01-26 03:25:22,2
-10.0,2019-01-26 13:26:19,2
14.6,2019-01-22 08:51:26,2
33.5,2019-01-26 23:38:58,2
29.8,2019-01-20 22:32:44,2
-12.0,2019-01-07 13:41:02,2
-34.5,2019-01-28 21:30:59,2
2.8,2019-01-20 21:58:13,2
7.4,2019-01-29 21:52:58,2
-31.6,2019-01-04 18:35:14,2
-12.5,2019-01-18 11:51:14,2
0.5,2019-01-19 01:20:47,2
23.2,2019-01-23 02:13:10,2
-8.9,2019-01-18 07:16:30,2
9.4,2019-01-15 13:18:18,2
18.5,2019-01-14 22:12:07,2
-12.2,2019-01-23 13:42:24,2
-7.2,2019-01-01 19:50:49,2
11.9,2019-01-16 12:36:13,2
17.4,2019-01-18 14:17:22,2
-16.3,2019-01-26 01:43:24,2
1.2,2019-01-29 03:42:32,2
-27.8,2019-01-06 18:06:06,2
-5.8,2019-01-03 03:37:34,2
-15.2,2019-01-09 16:35:55,2
-30.7,2019-01-29 23:34:20,2
32.7,2019-01-17 20:23:10,2
7.2,2019-01-14 19:02:12,2
8.9,2019-01-30 21:31:45,2
0.1,2019-01-07 05:10:57,2
-6.5,2019-01-26 04:16:16,2
-21.4,2019-01-01 00:11:20,2
-3.5,2019-01-02 21:28:28,2
-36.3,2019-01-09 08:03:11,2
-5.0,2019-01-11 03:48:30,2
-10.6,2019-01-25 10:44:30,2
-18.6,2019-01-01 08:40:22,2
-24.9,2019-01-13 03:02:20,2
